Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
MT-TV	Hypertrophic cardiomyopathy (HCM), Leigh syndrome, Mitochondrial multisystemic disorder, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	3	
MT-TW	Leigh syndrome, Myopathy, mitochondrial	Mitochondrial	8	
MT-TY	Mitochondrial multisystemic disorder	Mitochondrial	4	
NBEA	Epilepsy	AD	3	13
NFIB	Macrocephaly	AD	17	2
NLGN3	Autism, Asperger syndrome	XL	2	10
NLGN4X	Autism, Asperger syndrome, Intellectual developmental disorder	XL	7	35
NSD1	Sotos syndrome, Weaver syndrome, Beckwith-Wiedemann syndrome	AD	329	517
POGZ	Mental retardation, autosomal dominant 37 (White-Sutton syndrome)	AD	46	52
PTCHD1	Autism susceptibility, X-linked 4	XL	9	47
PTEN	Bannayan-Riley-Ruvalcaba syndrome, Lhermitte-Duclos syndrome, Cowden syndrome	AD	435	638
RPL10	Autism	XL	4	5
SHANK3	Phelan-McDermid syndrome, Schizophrenia 15	AD	66	191
TBR1	Intellectual developmental disorder	AD	16	18
TCF20	Developmental delay and seizures with or without movement abnormalities (DEDSM)	AD	7	16
TRIP12	Intellectual developmental disorder	AD	14	32
TSC1	Lymphangioleiomyomatosis, Tuberous sclerosis	AD	177	372
TSC2	Lymphangioleiomyomatosis, Tuberous sclerosis	AD	396	1195
VAMP2		AD		
WASF1	Intellectual disability and seizures	AD	3	3
ZSWIM6	Acromelic frontonasal dysostosis	AD	4	2
