Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
MT-TV	Hypertrophic cardiomyopathy (HCM), Leigh syndrome, Mitochondrial multisystemic disorder, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	3	
MT-TW	Leigh syndrome, Myopathy, mitochondrial	Mitochondrial	8	
MT-TY	Mitochondrial multisystemic disorder	Mitochondrial	4	
PRNP	Dementia, Lewy body, Creutzfeldt-Jakob disease, Huntington disease-like, Gerstmann-Straussler disease, Spongiform encephalopathy with neuropsychiatric features, Insomnia, fatal familial	AD/AR	26	104
PSEN1	Dilated cardiomyopathy (DCM), Acne inversa, familial, 3, Dementia, frontotemporal, Pick disease, Alzheimer disease	AD	57	306
PSEN2	Peripartum/pregnancy-associated cardiomyopathy, Dilated cardiomyopathy (DCM), Alzheimer disease, 4	AD	9	60
RNF216	Cerebellar ataxia and hypogonadotropic hypogonadism (Gordon Holmes syndrome)	AR	10	14
SIGMAR1	Amyotrophic lateral sclerosis, Spinal muscular atrophy, distal, Frontotemporal lobar degeneration-motor neuron disease	AR	6	14
SNCA	Parkinson disease, Dementia with Lewy bodies	AD	7	35
SORL1	Early-onset Alzheimer disease	AD	3	134
TARDBP	Amyotrophic lateral sclerosis	AD	20	69
TREM2	Nasu-Hakola disease, Early-onset dementia without bone cysts, Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	AR	14	48
TUBA4A	Amyotrophic lateral sclerosis 22	AD	6	13
UBE3A	Angelman syndrome	AD	176	202
UBQLN2	Amyotrophic lateral sclerosis	XL	5	31
VCP	Amyotrophic lateral sclerosis, Inclusion body myopathy with early-onset Paget disease, Charcot-Marie-Tooth disease	AD	17	61
