Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
MT-ND4	Leber hereditary optic neuropathy, Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	11	
MT-ND4L	Leber hereditary optic neuropathy	Mitochondrial	2	
MT-ND5	Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Leber hereditary optic neuropathy, Mitochondrial complex I deficiency	Mitochondrial	19	
MT-ND6	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Oncocytoma, Leber hereditary optic neuropathy, Leber optic atrophy and dystonia, Mitochondrial complex I deficiency	Mitochondrial	16	
MT-RNR1	Deafness, mitochondrial	Mitochondrial	3	
MT-RNR2	Chloramphenicol toxicity/resistance	Mitochondrial	2	
MT-TA		Mitochondrial	4	
MT-TC	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Mitochondrial	3	
MT-TD		Mitochondrial	1	
MT-TE	Diabetes-deafness syndrome, Mitochondrial myopathy, infantile, transient, Mitochondrial myopathy with diabetes	Mitochondrial	5	
MT-TF	Myoclonic epilepsy with ragged red fibers, Nephropathy, tubulointerstitial, Encephalopathy, mitochondrial, Epilepsy, mitochondrial, Myopathy, mitochondrial, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	7	
MT-TG		Mitochondrial	3	
MT-TH		Mitochondrial	4	
MT-TI		Mitochondrial	7	
MT-TK	Myoclonic epilepsy with ragged red fibers, Leigh syndrome	Mitochondrial	5	
MT-TL1	Cytochrome c oxidase deficiency, Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes, Diabetes-deafness syndrome, Cyclic vomiting syndrome, SIDS, susceptibility to	Mitochondrial	14	
MT-TL2	Mitochondrial multisystemic disorder, Progressive external ophthalmoplegia, Mitochondrial Myopathy, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	5	
MT-TM	Leigh syndrome, Mitochondrial multisystemic disorder	Mitochondrial	1	
MT-TN	Progressive external ophthalmoplegia, Mitochondrial multisystemic disorder	Mitochondrial	3	
MT-TP		Mitochondrial	2	
MT-TQ	Mitochondrial multisystemic disorder	Mitochondrial	2	
MT-TR	Encephalopathy, mitochondrial	Mitochondrial	2	
MT-TS1	Myoclonic epilepsy with ragged red fibers, Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Mitochondrial	10	
MT-TS2	Mitochondrial multisystemic disorder	Mitochondrial	2	
MT-TT		Mitochondrial	5	
MT-TV	Hypertrophic cardiomyopathy (HCM), Leigh syndrome, Mitochondrial multisystemic disorder, Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Mitochondrial	3	
MT-TW	Leigh syndrome, Myopathy, mitochondrial	Mitochondrial	8	
MT-TY	Mitochondrial multisystemic disorder	Mitochondrial	4	
NUS1	Congenital disorder of glycosylation, type 1aa		4	5
PANK2	Hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration, Neurodegeneration with brain iron accumulation	AR	37	181
PARK2	Parkinson disease, juvenile	AR	45	432
PARK7	Parkinson disease, early onset	AR	10	35
PDE10A	Striatal degeneration, autosomal dominant 2, Infantile-onset dyskinesia	AD/AR	6	5
PDE8B	Pigmented nodular adrenocortical disease, Striatal degeneration, autosomal dominant 1	AD	4	11
PDGFB	Basal ganglia calcification, idiopathic, 5	AD	8	19
PDGFRB	Basal ganglia calcification, idiopathic, 4, Kosaki overgrowth syndrome, Premature aging syndrome, Penttinen type	AD	14	19
PINK1	Parkinson disease, early onset	AR	17	136
PLA2G6	Parkinson disease, Neurodegeneration with brain iron accumulation	AR	78	175
POLG	POLG-related ataxia neuropathy spectrum disorders, Sensory ataxia, dysarthria, and ophthalmoparesis, Alpers syndrome, Progressive external ophthalmoplegia with mitochondrial DNA deletions, Mitochondrial DNA depletion syndrome	AD/AR	89	290
PRKRA	Dystonia 16	AR	2	9
PSEN1	Dilated cardiomyopathy (DCM), Acne inversa, familial, 3, Dementia, frontotemporal, Pick disease, Alzheimer disease	AD	57	306
RAB39B	Waisman parkinsonism-mental retardation syndrome, Intellectual developmental disorder	XL	6	17
SLC20A2	Basal ganglia calcification, idiopathic, 1	AD	22	71
SLC30A10	Hypermanganesemia with dystonia, polycythemia, and cirrhosis	AR	15	22
SLC39A14	Hypermanganesemia with dystonia 2	AD/AR	9	9
SLC6A3	Parkinsonism-dystonia, infantile	AR	8	31
SNCA	Parkinson disease, Dementia with Lewy bodies	AD	7	35
SPR	Dystonia, Dopa-responsive, due to sepiapterin reductase deficiency	AR	12	23
SYNJ1	Epileptic encephalopathy, early infantile, 53, Parkinson disease 20, early-onset	AR	12	25
TH	Segawa syndrome, autosomal recessive	AR	44	71
VPS13A	Choreoacanthocytosis	AR	19	115
VPS13C	Parkinson disease 23, autosomal recessive, early onset	AR	10	9
VPS35	Parkinson disease	AD	2	22
XPR1	Basal ganglia calcification, idiopathic, 6	AD	4	6
