Gene	Associated phenotypes	Inheritance	ClinVar	HGMD
PDGFB	Basal ganglia calcification, idiopathic, 5	AD	8	19
PDGFRB	Basal ganglia calcification, idiopathic, 4, Kosaki overgrowth syndrome, Premature aging syndrome, Penttinen type	AD	14	19
PNKD	Paroxysmal non-kinesigenic dyskinesia	AD	5	5
PRKRA	Dystonia 16	AR	2	9
PRRT2	Episodic kinesigenic dyskinesia, Seizures, benign familial infantile, 2, Convulsions, familial infantile, with paroxysmal choreoathetosis	AD	42	99
SGCE	Dystonia 11, myoclonic	AD	40	119
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects, Epilepsy, idiopathic generalized, GLUT1 deficiency syndrome	AD/AR	106	275
SLC39A14	Hypermanganesemia with dystonia 2	AD/AR	9	9
SPR	Dystonia, Dopa-responsive, due to sepiapterin reductase deficiency	AR	12	23
TH	Segawa syndrome, autosomal recessive	AR	44	71
THAP1	Dystonia 6, torsion	AD	19	98
TOR1A	Dystonia 1, torsion	AD	2	16
UBTF	Neurodegeneration, childhood-onset, with brain atrophy	AD	3	1
VAC14	Striatonigral degeneration, childhood-onset		6	7
