symbol,disease,panel,panel_name,evidence_level
DDC,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DRD2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ATP13A2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),strong
MAOB,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PRKN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PINK1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC18A2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NLGN3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),strong
NRXN1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
EN2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
IGF2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DRD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IGF1R,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DLG4,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
ATP5F1A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GABRB3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
INS,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SCN1A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
BAX,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IGF1R,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ABCA7,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TOMM40,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CLU,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CR1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
A2M,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
EPHA1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CD2AP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BIN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
APOC1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MPO,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NOS3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PSEN2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SORL1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PICALM,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TUBB4A,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
TOR1A,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
ATP1A3,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
TH,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PANK2,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
KMT2B,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
CLEC16A,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HLA-DRB1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL2RA,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL7R,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
TNFRSF1A,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CD40,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CD58,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
LRRK2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GAK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GBA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAPT,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BST1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VSNL1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRKN,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
TYK2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CACNA1A,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
HLA-DRA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ADCY5,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
ARX,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
KIF1B,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
INPP5D,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC30A10,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SLC2A1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
NECTIN2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADAR,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
ATP13A2,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
HLA-DRA,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CBLB,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MS4A4A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GCDH,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
FA2H,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
STAT4,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
PCDH11X,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CASS4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
WDR45,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
ATM,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PINK1,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
SUCLA2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
TNFAIP3,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
TNFSF14,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CD6,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
FBXO7,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
APTX,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PSEN1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SLC20A2,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
ZNF142,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
DCAF17,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SLC19A3,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
C19orf12,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
MEF2C,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CYP46A1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CHRNA7,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CST3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CYP2D6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DHCR24,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DPYSL2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ESR1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NCSTN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HMOX1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IGF1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IL6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR146A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MAOB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ACHE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MTHFR,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PPARG,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRNP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RELN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BCHE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TFAM,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TNF,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
VEGFA,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CD33,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RNASEH2A,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
NPC2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
AFG3L2,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
TREX1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
EARS2,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
CYP27A1,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
FOXG1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
GAMT,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
SAMHD1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
CHMP2B,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
TPK1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
MMADHC,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
GNAL,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
HPRT1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
KCNQ2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
ARSA,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
MAT1A,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
MPV17,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
ATP1A2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PDGFRB,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
PLP1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
GTPBP2,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
AUH,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
FOXRED1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
MCOLN1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
MYORG,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
PTS,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
QDPR,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SDHAF1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
CACNA1E,Dystonia,DisGeNET,Dystonia (DisGeNET),strong
RNASEH2B,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
PDHX,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
RNASEH2C,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
PNPT1,Dystonia,DisGeNET,Dystonia (DisGeNET),limited
NLRP3,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HLA-DPB1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HLA-DQB1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
ICAM1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IRF8,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IFNB1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IFNG,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
APOE,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL1B,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL1RN,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL7,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL10,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL17A,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
P2RX7,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
VDR,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
PARK16,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DNM1L,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PPARGC1A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CYP2D6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GDNF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GFAP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TMEM230,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GSTM1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HFE,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HMOX1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HSPA9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IL6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAOA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MTHFR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NOS1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ABCB1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VPS35,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BDNF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC6A3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SOD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SOD2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTCHD1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
SHANK2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
OXTR,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
AVPR1A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
RELN,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PTEN,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
NLGN4X,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
BDNF,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CRH,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SOD2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GSTP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DDIT4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GRIN2B,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
TSC2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CNR1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
GC,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CYP2E1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FOXP1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
ITGB3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PLCG2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
UNC5C,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ANO3,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
CASP1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MAP3K5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NGF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IL1RAPL1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
ABI3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
WWOX,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TF,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC11A1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
DPP6,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CHRNB2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC30A6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
COL6A3,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
CIZ1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
CLDN11,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
POMC,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
NQO1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
AIF1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAI1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DPYD,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PGRMC1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
EIF2S1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
F2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ARC,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CALM1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PDCD1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
NECTIN2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
SELE,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
VCAM1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
GSTA4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IGF2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TRPM2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CHD2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
ANKRD11,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
NRXN3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),limited
ENO1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HLA-DRB5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IGF2R,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TPI1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ACTB,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
IL12A,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HLA-DRB5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IGF2R,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
INS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CDH10,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
JARID2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
MTNR1A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
TSHZ3,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
RYR2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
SLC1A1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
GPR50,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
TRIP12,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),strong
CEP41,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
SNAR-I,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IQCK,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
AMFR,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR100,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR296,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR375,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC2A4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC30A4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CP,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
SCP2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
RBPJ,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MCAM,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
ENO2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FBP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FCER2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GPX1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HGF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HSPA1A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
INSR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR181C,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAG,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MTA1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BAG5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TCL1B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UPP2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DLX1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DNMT3A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DIPK2A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DIP2A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
SIN3A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
GLRA2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),limited
GTF2I,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
HFE,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
MTNR1B,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PAH,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PCDH9,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
FEV,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DPP10,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
RARB,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
USH2A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DIPK2B,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
